Iteration,Alpha
640,"0.5513175374284962,0.44868246257150374"
641,"0.5515746130735069,0.44842538692649314"
642,"0.5513009457988555,0.44869905420114453"
643,"0.5512170369116084,0.44878296308839155"
644,"0.5510097103636663,0.4489902896363337"
645,"0.5507575699980869,0.44924243000191316"
646,"0.5508051866517493,0.4491948133482506"
647,"0.5512199788854317,0.4487800211145682"
648,"0.5512879817349717,0.44871201826502827"
649,"0.5516455829855829,0.44835441701441714"
650,"0.5509867873196347,0.4490132126803653"
651,"0.5506464680654848,0.4493535319345152"
652,"0.55094581889893,0.44905418110107004"
653,"0.5512184726356777,0.44878152736432225"
654,"0.5511529506359836,0.4488470493640164"
655,"0.5512842143888516,0.4487157856111484"
656,"0.55173006587947,0.44826993412053"
657,"0.5517526799638217,0.44824732003617834"
658,"0.5521263609147001,0.4478736390852998"
659,"0.552677031926344,0.4473229680736559"
660,"0.5526389704228925,0.4473610295771076"
661,"0.5525751975784124,0.44742480242158755"
662,"0.5524707864934341,0.4475292135065659"
663,"0.5521530602889694,0.4478469397110306"
664,"0.5521749174456095,0.44782508255439046"
665,"0.5521799986237372,0.4478200013762628"
666,"0.5518114337187777,0.44818856628122233"
667,"0.5520897194996065,0.44791028050039344"
668,"0.5523060871551231,0.447693912844877"
669,"0.5527269533396262,0.44727304666037393"
670,"0.5523846017267922,0.4476153982732079"
671,"0.5527315532203027,0.4472684467796974"
672,"0.5529339074417092,0.44706609255829066"
673,"0.55326530256317,0.4467346974368301"
674,"0.5534631037605354,0.44653689623946446"
675,"0.5533692810529179,0.446630718947082"
676,"0.5542132820105131,0.44578671798948694"
677,"0.5551215095165497,0.4448784904834504"
678,"0.5550521859917102,0.44494781400828964"
679,"0.5548912174434735,0.4451087825565265"
680,"0.5549845247733606,0.4450154752266394"
681,"0.5554026187892083,0.4445973812107916"
682,"0.5551978581112992,0.4448021418887008"
683,"0.5553125769136675,0.4446874230863325"
684,"0.5552025885569447,0.4447974114430553"
685,"0.5553692564427342,0.44463074355726584"
686,"0.5556586658532199,0.4443413341467802"
687,"0.5558065023820065,0.4441934976179935"
688,"0.5555116271087879,0.4444883728912122"
689,"0.5554098989228539,0.44459010107714614"
690,"0.5557201774062421,0.44427982259375787"
691,"0.5557055327699961,0.4442944672300039"
692,"0.555592035068905,0.44440796493109497"
693,"0.555586178860464,0.44441382113953604"
694,"0.5562048114302632,0.4437951885697369"
695,"0.5559588443411045,0.4440411556588954"
696,"0.5569515784506858,0.4430484215493143"
697,"0.5572067040287385,0.4427932959712615"
698,"0.5569148666237318,0.44308513337626815"
699,"0.5569891847377734,0.4430108152622266"
700,"0.5568356732349651,0.44316432676503487"
701,"0.5568448963013596,0.44315510369864053"
702,"0.5568993951510846,0.4431006048489155"
703,"0.5571194742005748,0.4428805257994252"
704,"0.5573877749754627,0.4426122250245374"
705,"0.5578942493475161,0.44210575065248386"
706,"0.557837679182814,0.442162320817186"
707,"0.5580271060846409,0.44197289391535904"
708,"0.5585342181388062,0.44146578186119373"
709,"0.5594031597002321,0.440596840299768"
710,"0.5598676373649116,0.4401323626350884"
711,"0.5600526470933559,0.43994735290664416"
712,"0.559675646401016,0.440324353598984"
713,"0.5597175607731002,0.44028243922689986"
714,"0.5592462911186525,0.4407537088813475"
715,"0.5590937303046141,0.44090626969538604"
716,"0.5593895648194838,0.44061043518051624"
717,"0.5593671389272369,0.4406328610727631"
718,"0.5595487555437006,0.44045124445629935"
719,"0.5592571904472393,0.4407428095527606"
720,"0.5591293834855409,0.4408706165144591"
721,"0.5592308952139158,0.44076910478608433"
722,"0.5589509429525533,0.4410490570474467"
723,"0.5588710168331826,0.4411289831668175"
724,"0.5587837803431048,0.4412162196568952"
725,"0.558588736161415,0.441411263838585"
726,"0.5582881796069615,0.44171182039303847"
727,"0.5582653439480492,0.4417346560519508"
728,"0.5580196930522308,0.4419803069477693"
729,"0.5582041859923843,0.44179581400761564"
730,"0.5587111578232492,0.4412888421767508"
731,"0.5590156918179131,0.4409843081820869"
732,"0.5593736552311571,0.4406263447688429"
733,"0.5591468477219992,0.44085315227800076"
734,"0.5593127091287784,0.44068729087122166"
735,"0.5597318422975078,0.4402681577024922"
736,"0.5598498087089842,0.4401501912910159"
737,"0.5602042120850003,0.4397957879149997"
738,"0.5596735052451307,0.4403264947548693"
739,"0.5594079119287426,0.4405920880712574"
740,"0.559191957480607,0.440808042519393"
741,"0.5595626029111432,0.4404373970888568"
742,"0.559250605608999,0.440749394391001"
743,"0.5591459763027309,0.44085402369726906"
744,"0.5590066677301702,0.44099333226982984"
745,"0.5598483843776738,0.44015161562232624"
746,"0.5602814966169668,0.4397185033830332"
747,"0.5605514624085904,0.4394485375914096"
748,"0.5605514771414145,0.43944852285858543"
749,"0.560080445650555,0.43991955434944496"
750,"0.5599910426136463,0.44000895738635376"
751,"0.5603958790670638,0.43960412093293627"
752,"0.5603738342949258,0.4396261657050743"
753,"0.560411453427404,0.4395885465725961"
754,"0.5604952279854726,0.43950477201452737"
755,"0.5607729155874521,0.43922708441254793"
756,"0.5611678025303802,0.4388321974696198"
757,"0.5612798836827815,0.4387201163172185"
758,"0.5613559934349005,0.4386440065650995"
759,"0.5614371490820755,0.4385628509179244"
760,"0.5614187839189578,0.4385812160810423"
761,"0.5614909514461143,0.43850904855388584"
762,"0.5618876242325758,0.4381123757674243"
763,"0.5617692352930089,0.43823076470699107"
764,"0.5619473426842053,0.43805265731579474"
765,"0.5618269549549493,0.4381730450450507"
766,"0.5619372487330851,0.4380627512669149"
767,"0.5615494240402634,0.4384505759597366"
768,"0.5617397193133654,0.4382602806866346"
769,"0.56194415224419,0.43805584775580997"
770,"0.5618758431792691,0.43812415682073086"
771,"0.562277696636296,0.4377223033637041"
772,"0.5624990448283745,0.4375009551716254"
773,"0.5625994846150928,0.43740051538490726"
774,"0.562654025450181,0.43734597454981905"
775,"0.5627746431100917,0.43722535688990827"
776,"0.5629532194326181,0.43704678056738183"
777,"0.5635728165364015,0.4364271834635986"
778,"0.5637444103679673,0.43625558963203276"
779,"0.5641378996127085,0.4358621003872915"
780,"0.5641232579144458,0.43587674208555405"
781,"0.5642148832853908,0.4357851167146092"
782,"0.564302026385523,0.4356979736144771"
783,"0.5642719285475729,0.43572807145242703"
784,"0.5643166932232334,0.43568330677676653"
785,"0.5648407914753879,0.43515920852461204"
786,"0.56483558106158,0.43516441893842006"
787,"0.5651496360119354,0.4348503639880646"
788,"0.5653907321281519,0.4346092678718481"
789,"0.5662024370277421,0.433797562972258"
790,"0.5660823801564067,0.43391761984359334"
791,"0.5660826587179191,0.43391734128208087"
792,"0.5660231599596303,0.4339768400403697"
793,"0.5661670274156563,0.4338329725843437"
794,"0.5665856556749015,0.43341434432509857"
795,"0.5661596099681143,0.4338403900318857"
796,"0.5662403402735214,0.4337596597264786"
797,"0.566436567730496,0.433563432269504"
798,"0.5664479668341067,0.4335520331658933"
799,"0.5674833219161165,0.43251667808388355"
800,"0.5678619046961951,0.43213809530380487"
801,"0.5684374086721267,0.4315625913278733"
802,"0.5684346837231283,0.43156531627687167"
803,"0.5684705655860579,0.43152943441394204"
804,"0.5689292926212997,0.4310707073787004"
805,"0.569215776977984,0.430784223022016"
806,"0.569447172414153,0.43055282758584706"
807,"0.5695882272390181,0.43041177276098186"
808,"0.5695257041818786,0.43047429581812136"
809,"0.5694992828959149,0.4305007171040851"
810,"0.5693834545894406,0.43061654541055927"
811,"0.569248672786295,0.43075132721370496"
812,"0.5692589017573862,0.4307410982426138"
813,"0.5691644885398005,0.4308355114601994"
814,"0.5689458658935905,0.4310541341064094"
815,"0.5685887243004389,0.4314112756995611"
816,"0.5688395463104755,0.4311604536895245"
817,"0.5688914862336573,0.4311085137663426"
818,"0.5689408021875882,0.43105919781241164"
819,"0.568925001932649,0.431074998067351"
820,"0.5690789479244818,0.4309210520755183"
821,"0.5690269671844418,0.43097303281555827"
822,"0.5689700617005065,0.43102993829949365"
823,"0.5684551402897221,0.43154485971027795"
824,"0.5686361628740059,0.4313638371259942"
825,"0.5684699866309626,0.4315300133690374"
826,"0.5685760118389754,0.4314239881610246"
827,"0.568372343423626,0.43162765657637403"
828,"0.5680686641008301,0.43193133589917"
829,"0.5681951098162081,0.43180489018379187"
830,"0.5686526423266447,0.4313473576733552"
831,"0.5685551252720126,0.43144487472798737"
832,"0.5692756877915326,0.4307243122084674"
833,"0.5692613531601761,0.4307386468398239"
834,"0.5694813929613712,0.43051860703862865"
835,"0.5695343491567583,0.4304656508432417"
836,"0.56942104576181,0.43057895423819004"
837,"0.5697523523279678,0.4302476476720322"
838,"0.5702068119191135,0.42979318808088646"
839,"0.5698350388339617,0.43016496116603825"
840,"0.5695611546339455,0.43043884536605453"
841,"0.569685718240909,0.430314281759091"
842,"0.5698936684394479,0.4301063315605521"
843,"0.5700005070388414,0.4299994929611585"
844,"0.5701040604561901,0.42989593954381"
845,"0.5696988503564169,0.4303011496435832"
846,"0.5693280728344132,0.4306719271655867"
847,"0.5696676579564124,0.4303323420435876"
848,"0.5699210931155039,0.43007890688449607"
849,"0.5699013807259568,0.4300986192740432"
850,"0.5701059409074024,0.4298940590925976"
851,"0.5701518054126417,0.4298481945873584"
852,"0.5701904127535357,0.4298095872464644"
853,"0.5702131759828689,0.42978682401713103"
854,"0.5703982165774786,0.42960178342252137"
855,"0.5707764947672475,0.42922350523275254"
856,"0.5708597651987606,0.4291402348012394"
857,"0.5712303868296597,0.4287696131703404"
858,"0.5711099549628771,0.4288900450371229"
859,"0.5711201941686505,0.4288798058313496"
860,"0.5713248212511447,0.4286751787488554"
861,"0.571349617784323,0.428650382215677"
862,"0.5714632338226749,0.4285367661773251"
863,"0.5713269218523879,0.4286730781476122"
864,"0.5716488966825932,0.4283511033174069"
865,"0.5717446173538112,0.42825538264618884"
866,"0.5712933344769199,0.42870666552308"
867,"0.5711825311116911,0.4288174688883088"
868,"0.5711386532669638,0.4288613467330362"
869,"0.5710705679829278,0.42892943201707223"
870,"0.5708745240978146,0.4291254759021854"
871,"0.5712154390457149,0.42878456095428513"
872,"0.5713011343923371,0.42869886560766296"
873,"0.5714016372401128,0.4285983627598872"
874,"0.5716247623214648,0.4283752376785353"
875,"0.5716065761548265,0.4283934238451736"
876,"0.5715797148631692,0.42842028513683084"
877,"0.5715849591007137,0.4284150408992863"
878,"0.5713682782352918,0.42863172176470826"
879,"0.5717698818081373,0.4282301181918628"
880,"0.5715702705340988,0.4284297294659012"
881,"0.5716509332690854,0.4283490667309146"
882,"0.572170586572494,0.42782941342750597"
883,"0.5727968938483394,0.42720310615166057"
884,"0.5725773393282545,0.42742266067174545"
885,"0.5727126724916504,0.4272873275083495"
886,"0.57339315112633,0.42660684887367"
887,"0.5733325973694099,0.4266674026305902"
888,"0.5731106791377956,0.42688932086220444"
889,"0.5730469783348119,0.42695302166518806"
890,"0.5732807441187822,0.42671925588121773"
891,"0.5730399668303803,0.4269600331696197"
892,"0.5735833266425278,0.4264166733574723"
893,"0.5733209757285678,0.42667902427143223"
894,"0.5732001150787235,0.4267998849212765"
895,"0.573684296510881,0.42631570348911896"
896,"0.5739191043445194,0.4260808956554805"
897,"0.5741819913718808,0.42581800862811925"
898,"0.5744044300956145,0.42559556990438563"
899,"0.5741254617057409,0.42587453829425914"
900,"0.5746218340089346,0.42537816599106537"
901,"0.5748348938116126,0.4251651061883875"
902,"0.574754144995683,0.42524585500431694"
903,"0.5745772759590598,0.42542272404094017"
904,"0.57481845774865,0.42518154225134996"
905,"0.5748276917811762,0.42517230821882374"
906,"0.5744997887539115,0.42550021124608844"
907,"0.5745105524076682,0.4254894475923317"
908,"0.5742891282066712,0.4257108717933288"
909,"0.5742761435220803,0.4257238564779197"
910,"0.5748266765902188,0.42517332340978115"
911,"0.5754553107873471,0.42454468921265287"
912,"0.5752380979988984,0.42476190200110164"
913,"0.5753975121431621,0.42460248785683785"
914,"0.5758486143141834,0.4241513856858167"
915,"0.5757085046679637,0.4242914953320362"
916,"0.5763394873744324,0.4236605126255676"
917,"0.5767957427460866,0.4232042572539134"
918,"0.5768999939945958,0.42310000600540415"
919,"0.576935780028348,0.423064219971652"
920,"0.5770141035620328,0.4229858964379672"
921,"0.5769909385662005,0.4230090614337994"
922,"0.5768274563043378,0.42317254369566204"
923,"0.5768690273458993,0.42313097265410066"
924,"0.5763457549883141,0.42365424501168586"
925,"0.5761294109693781,0.42387058903062186"
926,"0.5761295423232301,0.4238704576767699"
927,"0.5760834424438128,0.4239165575561872"
928,"0.5760577673266186,0.4239422326733814"
929,"0.5758152794013077,0.4241847205986923"
930,"0.5761757236572373,0.4238242763427626"
931,"0.5762459185592907,0.4237540814407093"
932,"0.5762621298820861,0.4237378701179139"
933,"0.5764744690583492,0.4235255309416508"
934,"0.5769213354368296,0.42307866456317045"
935,"0.5773584605743913,0.4226415394256086"
936,"0.5780795453310976,0.42192045466890243"
937,"0.5780061656829878,0.4219938343170121"
938,"0.5783493608987336,0.4216506391012665"
939,"0.5780248396257518,0.42197516037424826"
940,"0.5780632198249186,0.4219367801750814"
941,"0.57771719253653,0.4222828074634699"
942,"0.5775975097797493,0.4224024902202506"
943,"0.5774836435357462,0.4225163564642538"
944,"0.5777097036494213,0.4222902963505787"
945,"0.5777195981062123,0.42228040189378774"
946,"0.5778944941661,0.42210550583389994"
947,"0.5778662249518343,0.4221337750481658"
948,"0.5779233097957347,0.42207669020426536"
949,"0.5783394173585729,0.4216605826414271"
950,"0.5787735301346174,0.42122646986538265"
951,"0.5793829853355592,0.4206170146644408"
952,"0.5793800171172863,0.42061998288271385"
953,"0.579450157383955,0.420549842616045"
954,"0.5794263538971661,0.4205736461028338"
955,"0.5794467153389856,0.4205532846610144"
956,"0.5792083152165178,0.42079168478348206"
957,"0.5789910382046942,0.4210089617953058"
958,"0.5791396355333014,0.42086036446669856"
959,"0.57903140959232,0.42096859040768"
960,"0.578582370353733,0.4214176296462669"
961,"0.5785357529881041,0.4214642470118959"
962,"0.5786844381652134,0.4213155618347867"
963,"0.578805283409902,0.421194716590098"
964,"0.5786604443840322,0.42133955561596775"
965,"0.5789800937315317,0.42101990626846836"
966,"0.5793211276720663,0.4206788723279338"
967,"0.579236808710292,0.42076319128970796"
968,"0.5790457140818351,0.42095428591816486"
969,"0.5791842585988044,0.42081574140119565"
970,"0.5790647039592945,0.4209352960407054"
971,"0.5793713876167632,0.42062861238323684"
972,"0.5794624565470781,0.42053754345292205"
973,"0.579347110188884,0.42065288981111604"
974,"0.5794000975840636,0.4205999024159364"
975,"0.5792976367392696,0.42070236326073035"
976,"0.5794882569953885,0.42051174300461147"
977,"0.57939525659308,0.42060474340691995"
978,"0.5793897317852265,0.42061026821477354"
979,"0.5790540091839305,0.4209459908160696"
980,"0.5792209538584615,0.42077904614153855"
981,"0.5794020368258302,0.42059796317416975"
982,"0.579741562876163,0.42025843712383704"
983,"0.580043132083101,0.41995686791689907"
984,"0.5801101811074664,0.4198898188925336"
985,"0.5797977268498212,0.4202022731501788"
986,"0.5798531647430935,0.42014683525690644"
987,"0.5803524992179431,0.4196475007820569"
988,"0.5799201289936357,0.4200798710063644"
989,"0.5802651917433825,0.4197348082566175"
990,"0.5803788919867626,0.4196211080132373"
991,"0.5804601429048986,0.41953985709510144"
992,"0.5812338358861061,0.4187661641138939"
993,"0.5813074595150657,0.4186925404849343"
994,"0.5814044664831818,0.4185955335168182"
995,"0.5814677680982299,0.41853223190177014"
996,"0.5816526078668873,0.41834739213311267"
997,"0.5806648289985107,0.4193351710014893"
998,"0.5810317285318178,0.41896827146818216"
999,"0.5811169261691004,0.4188830738308995"
